DateRepConf,CaseCode
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,2.0
2020-03-10,2.0
2020-03-11,3.0
2020-03-12,4.0
2020-03-13,4.0
2020-03-14,8.0
2020-03-15,10.0
2020-03-16,10.0
2020-03-17,13.0
2020-03-18,14.0
2020-03-19,15.0
2020-03-20,16.0
2020-03-21,21.0
2020-03-22,26.0
2020-03-23,31.0
2020-03-24,37.0
2020-03-25,42.0
2020-03-26,46.0
2020-03-27,53.0
2020-03-28,68.0
2020-03-29,91.0
2020-03-30,100.0
2020-03-31,135.0
2020-04-01,150.0
2020-04-02,172.0
2020-04-03,198.0
2020-04-04,198.0
2020-04-05,204.0
2020-04-06,228.0
2020-04-07,229.0
2020-04-08,230.0
2020-04-09,240.0
2020-04-10,241.0
2020-04-11,239.0
2020-04-12,230.0
2020-04-13,241.0
2020-04-14,224.0
2020-04-15,224.0
2020-04-16,216.0
2020-04-17,204.0
2020-04-18,213.0
2020-04-19,214.0
2020-04-20,199.0
2020-04-21,201.0
2020-04-22,201.0
2020-04-23,206.0
2020-04-24,213.0
2020-04-25,203.0
2020-04-26,208.0
2020-04-27,202.0
2020-04-28,194.0
2020-04-29,195.0
2020-04-30,200.0
2020-05-01,205.0
2020-05-02,201.0
2020-05-03,210.0
2020-05-04,214.0
2020-05-05,219.0
2020-05-06,234.0
2020-05-07,238.0
2020-05-08,232.0
2020-05-09,235.0
2020-05-10,228.0
2020-05-11,234.0
2020-05-12,240.0
2020-05-13,241.0
2020-05-14,240.0
2020-05-15,235.0
2020-05-16,239.0
2020-05-17,233.0
2020-05-18,229.0
2020-05-19,230.0
2020-05-20,227.0
2020-05-21,218.0
2020-05-22,221.0
2020-05-23,224.0
2020-05-24,229.0
2020-05-25,229.0
2020-05-26,235.0
2020-05-27,243.0
2020-05-28,263.0
2020-05-29,322.0
2020-05-30,348.0
2020-05-31,394.0
2020-06-01,418.0
2020-06-02,428.0
2020-06-03,461.0
2020-06-04,491.0
2020-06-05,497.0
2020-06-06,534.0
2020-06-07,555.0
2020-06-08,576.0
2020-06-09,587.0
2020-06-10,612.0
2020-06-11,605.0
2020-06-12,574.0
2020-06-13,576.0
2020-06-14,553.0
2020-06-15,548.0
2020-06-16,548.0
2020-06-17,528.0
2020-06-18,523.0
2020-06-19,552.0
2020-06-20,569.0
2020-06-21,576.0
2020-06-22,580.0
2020-06-23,624.0
2020-06-24,606.0
2020-06-25,629.0
2020-06-26,657.0
2020-06-27,666.0
2020-06-28,674.0
2020-06-29,709.0
2020-06-30,758.0
2020-07-01,785.0
2020-07-02,763.0
2020-07-03,822.0
2020-07-04,853.0
2020-07-05,972.0
2020-07-06,1069.0
2020-07-07,1093.0
2020-07-08,1224.0
2020-07-09,1264.0
2020-07-10,1277.0
2020-07-11,1319.0
2020-07-12,1420.0
2020-07-13,1408.0
2020-07-14,1377.0
2020-07-15,1407.0
2020-07-16,1560.0
2020-07-17,1574.0
2020-07-18,1635.0
2020-07-19,1624.0
2020-07-20,1589.0
2020-07-21,1620.0
2020-07-22,1559.0
2020-07-23,1614.0
2020-07-24,1673.0
2020-07-25,1719.0
2020-07-26,1717.0
2020-07-27,1776.0
2020-07-28,1847.0
2020-07-29,1886.0
2020-07-30,1990.0
2020-07-31,2151.0
