province,cases
Lanao Del Sur,8606
Maguindanao,8082
Cotabato City (Not A Province),7043
Basilan,1911
Sulu,1723
Tawi-Tawi,785
,20
Benguet,77194
Kalinga,12920
Ifugao,12340
Mountain Province,11374
Apayao,9622
Abra,6454
,21
Agusan Del Norte,23642
Agusan Del Sur,17961
Surigao Del Sur,15359
Surigao Del Norte,7730
Dinagat Islands,1815
,28
Ncr,1305419
,5639
,42711
Pangasinan,61479
La Union,32857
Ilocos Norte,28251
Ilocos Sur,24193
,20
Isabela,74106
Cagayan,67379
Nueva Vizcaya,24031
Quirino,8895
Batanes,406
,17
Bulacan,149620
Pampanga,97199
Nueva Ecija,46445
Bataan,45091
Tarlac,33880
Zambales,23968
Aurora,4482
,158
Cavite,242706
Laguna,181757
Rizal,158516
Batangas,102744
Quezon,41692
,408
Palawan,14492
Oriental Mindoro,13644
Occidental Mindoro,8668
Romblon,5761
Marinduque,5352
,34
Zamboanga Del Sur,49390
Zamboanga Del Norte,13518
Zamboanga Sibugay,5878
City Of Isabela (Not A Province),1973
,11
Camarines Sur,31177
Albay,15600
Sorsogon,9828
Masbate,6660
Camarines Norte,5494
Catanduanes,4033
,368
Iloilo,91938
Negros Occidental,78102
Aklan,17389
Capiz,14852
Antique,11070
Guimaras,4459
,33
Cebu,152435
Negros Oriental,26942
Bohol,26832
Siquijor,3033
,177
Leyte,37875
Samar (Western Samar),9582
Southern Leyte,6864
Eastern Samar,5349
Northern Samar,5234
Biliran,2490
,323
Misamis Oriental,51027
Bukidnon,33649
Lanao Del Norte,13245
Misamis Occidental,12988
Camiguin,2748
,38
Davao Del Sur,99954
Davao Del Norte,27526
Davao De Oro,10842
Davao Oriental,10250
Davao Occidental,5114
,688
South Cotabato,46088
Cotabato (North Cotabato),16339
Sultan Kudarat,10523
Sarangani,8963
,2123
1,165047
"NCR, Second District",493575
"NCR, Third District",198085
"NCR, Fourth District",446010
